timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727285642327,434,https://eticket.railway.gov.bd/,200,OK,Thread Group 1-12,text,true,,10899,648,31,31,https://eticket.railway.gov.bd/,434,0,138
1727285642327,434,https://eticket.railway.gov.bd/-0,200,OK,Thread Group 1-12,text,true,,10899,648,31,31,https://eticket.railway.gov.bd/,434,0,138
1727285642230,213,https://eticket.railway.gov.bd/,200,OK,Thread Group 1-6,text,true,,10899,648,31,31,https://eticket.railway.gov.bd/,213,0,138
1727285642230,213,https://eticket.railway.gov.bd/-0,200,OK,Thread Group 1-6,text,true,,10899,648,31,31,https://eticket.railway.gov.bd/,213,0,138
1727285642159,207,https://eticket.railway.gov.bd/,200,OK,Thread Group 1-3,text,true,,10899,648,39,39,https://eticket.railway.gov.bd/,207,0,135
1727285642159,207,https://eticket.railway.gov.bd/-0,200,OK,Thread Group 1-3,text,true,,10899,648,39,39,https://eticket.railway.gov.bd/,207,0,135
1727285642271,207,https://eticket.railway.gov.bd/,200,OK,Thread Group 1-9,text,true,,10899,648,26,26,https://eticket.railway.gov.bd/,207,0,135
1727285642271,207,https://eticket.railway.gov.bd/-0,200,OK,Thread Group 1-9,text,true,,10899,648,26,26,https://eticket.railway.gov.bd/,207,0,135
1727285642137,208,https://eticket.railway.gov.bd/,200,OK,Thread Group 1-2,text,true,,10899,648,24,24,https://eticket.railway.gov.bd/,208,0,135
1727285642137,208,https://eticket.railway.gov.bd/-0,200,OK,Thread Group 1-2,text,true,,10899,648,24,24,https://eticket.railway.gov.bd/,208,0,135
1727285642629,2770,https://eticket.railway.gov.bd/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-27,text,false,,2363,0,21,21,https://eticket.railway.gov.bd/,0,0,2770
1727285642570,2832,https://eticket.railway.gov.bd/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-24,text,false,,2363,0,20,20,https://eticket.railway.gov.bd/,0,0,2832
1727285642888,2515,https://eticket.railway.gov.bd/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-40,text,false,,2363,0,20,20,https://eticket.railway.gov.bd/,0,0,2515
1727285642870,413,https://eticket.railway.gov.bd/,200,OK,Thread Group 1-39,text,true,,10899,648,18,18,https://eticket.railway.gov.bd/,413,0,214
1727285642808,389,https://eticket.railway.gov.bd/,200,OK,Thread Group 1-36,text,true,,10899,648,18,18,https://eticket.railway.gov.bd/,389,0,275
1727285642870,413,https://eticket.railway.gov.bd/-0,200,OK,Thread Group 1-39,text,true,,10899,648,18,18,https://eticket.railway.gov.bd/,413,0,214
1727285642808,389,https://eticket.railway.gov.bd/-0,200,OK,Thread Group 1-36,text,true,,10899,648,18,18,https://eticket.railway.gov.bd/,389,0,275
1727285643049,2359,https://eticket.railway.gov.bd/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-48,text,false,,2363,0,16,16,https://eticket.railway.gov.bd/,0,0,2359
1727285642469,658,https://eticket.railway.gov.bd/,200,OK,Thread Group 1-19,text,true,,10899,648,15,15,https://eticket.railway.gov.bd/,656,0,363
1727285642469,658,https://eticket.railway.gov.bd/-0,200,OK,Thread Group 1-19,text,true,,10899,648,15,15,https://eticket.railway.gov.bd/,656,0,363
1727285642118,224,https://eticket.railway.gov.bd/,200,OK,Thread Group 1-1,text,true,,10899,648,15,15,https://eticket.railway.gov.bd/,223,0,150
1727285642118,224,https://eticket.railway.gov.bd/-0,200,OK,Thread Group 1-1,text,true,,10899,648,15,15,https://eticket.railway.gov.bd/,223,0,150
1727285642389,2588,https://eticket.railway.gov.bd/,200,OK,Thread Group 1-15,text,true,,10899,648,13,13,https://eticket.railway.gov.bd/,2512,0,365
1727285642389,2588,https://eticket.railway.gov.bd/-0,200,OK,Thread Group 1-15,text,true,,10899,648,13,13,https://eticket.railway.gov.bd/,2512,0,365
1727285642908,707,https://eticket.railway.gov.bd/,200,OK,Thread Group 1-41,text,true,,10899,648,13,13,https://eticket.railway.gov.bd/,707,0,267
1727285642908,707,https://eticket.railway.gov.bd/-0,200,OK,Thread Group 1-41,text,true,,10899,648,13,13,https://eticket.railway.gov.bd/,707,0,267
1727285642748,1979,https://eticket.railway.gov.bd/,200,OK,Thread Group 1-33,text,true,,10899,648,11,11,https://eticket.railway.gov.bd/,1979,0,1316
1727285642748,1979,https://eticket.railway.gov.bd/-0,200,OK,Thread Group 1-33,text,true,,10899,648,11,11,https://eticket.railway.gov.bd/,1979,0,1316
1727285642227,216,https://eticket.railway.gov.bd/,200,OK,Thread Group 1-7,text,true,,10899,648,10,10,https://eticket.railway.gov.bd/,216,0,141
1727285642227,216,https://eticket.railway.gov.bd/-0,200,OK,Thread Group 1-7,text,true,,10899,648,10,10,https://eticket.railway.gov.bd/,216,0,141
1727285642214,217,https://eticket.railway.gov.bd/,200,OK,Thread Group 1-5,text,true,,10899,648,9,9,https://eticket.railway.gov.bd/,217,0,136
